source,target,weight,PMID
Ahr,Cyp1b1,1,10051545;12213569;12376470;12801909;12859982;14728982;16115918;17012224;17511620;17709388;17785579;18059014;19126602;19287966;19376845;19789301;19805408;21703235;21742528;22138065;22187486;23275542;24299737;9478971
Tp53,Ccnb1,-1,10051609;11071927;11162602;11313928;11522645;11892838;12379461;12874009;14627709;15710382;15737644;17942917;19470724;20395210
Pax6,L1cam,1,10051657;7917011
Carf,Crebbp,1,10064599
Stat5a,Ccnd1,1,10064602;14645506;15885880;16155412;18024957;18927468;19426693;20372799;21719533;23223023;23504816
Cebpb,Vldlr,1,10064725
Nfya,Vldlr,1,10064725
Cebpg,Vldlr,1,10064725
Tp53,Mdm2,1,10065155;10072445;10208414;10321740;10348346;10469568;10562557;10566557;10688649;10718212;10777217;10788589;10856296;10871862;10891494;10914734;10949923;11046142;11085543;11127813;11179471;11245471;11313463;11328884;11591713;11593391;11714701;11748232;11756653;11840331;11956627;11964305;12080472;12138177;12173040;12208736;12235242;12374749;12606552;12750288;12755686;12851404;12887889;12902982;14514686;14532965;14570892;14602726;14610316;14704432;14743206;14990790;15007388;15024021;15090541;15192123;15361831;15550242;15580300;15592502;15684615;15734740;15735665;15831521;15843377;15851483;15856024;15908423;15917661;1614537;16202543;16337599;16479015;16492744;16501602;16510138;16571800;16585169;16624812;17043642;17139261;17237821;17310983;17318220;17329361;17390010;17690113;17848574;17907153;17936559;18025460;18333294;18336191;18359851;18397889;18566224;18583933;18585004;18632610;18781178;18783169;18814047;18852133;19085961;19428175;19505873;19541936;19590512;19638633;19648117;19649205;19663772;19671680;19837670;19941079;19955655;20036872;20080970;20124454;20156675;20331637;20547751;20588255;20659896;20663877;20703075;20837136;20858413;20948295;21097889;21211512;21217645;21295542;21422812;21451571;21478269;21637567;21750655;21957016;22081073;22085928;22180176;22197810;22223137;22245141;22290440;22301280;22383580;22532570;22787160;22948151;23149414;23150757;23150759;23365201;23483203;23581014;23612020;23874713;23982177;24339722;24389645;25016801;7587074;7624148;7651818;7888679;7936649;7958853;8187772;8247544;8313378;8319905;8413278;8440237;8910340;8957072;9070662;9071998;9135153;9194564;9207798;9267820;9270029;9271120;9294611;9371494;9400998;9405685;9430645;9472631;9486848;9525742;9535786;9645455;9649502;9681831;9707425;9815889;9858609
Znf148,Cdkn1a,1,10066455;10899165;12840224;16952553;22214764
